p1;p2;p3;FD
0.1;0.7;0.6;1.4401258956882332
0.1;0.7;0.7;1.4741980944649955
0.1;0.7;0.8;1.5387380036904383
0.1;0.7;0.9;1.5388360795004932
0.1;0.7;1.0;1.4642280954956
0.1;0.8;0.0;-0.0
0.1;0.8;0.1;1.402282664815894
0.1;0.8;0.2;1.454955333506785
0.1;0.8;0.3;1.5007974636399513
0.1;0.8;0.4;1.4490753929920084
0.1;0.8;0.5;1.5821550293919038
0.1;0.8;0.6;1.5392455701199077
0.1;0.8;0.7;1.562074228283323
0.1;0.8;0.8;1.4807352160706555
0.1;0.8;0.9;1.5966028723531465
0.1;0.8;1.0;1.4752480272217985
0.1;0.9;0.0;-0.0
0.1;0.9;0.1;1.4762829653187886
0.1;0.9;0.2;1.4859783047995387
0.1;0.9;0.3;1.4921771918392814
0.1;0.9;0.4;1.6187414153237965
0.1;0.9;0.5;1.6204562539085765
0.1;0.9;0.6;1.4767777253878178
0.1;0.9;0.7;1.551729506840661
0.1;0.9;0.8;1.5373377939987656
0.1;0.9;0.9;1.5637106241923366
0.1;0.9;1.0;1.5659333813324652
0.1;1.0;0.0;-0.0
0.1;1.0;0.1;1.4483388255830807
0.1;1.0;0.2;1.481579863259301
0.1;1.0;0.3;1.5085226753082257
0.1;1.0;0.4;1.5039309449946174
0.1;1.0;0.5;1.6461227189008496
0.1;1.0;0.6;1.5019438967143317
0.1;1.0;0.7;1.655169542098633
0.1;1.0;0.8;1.5040369097993669
0.1;1.0;0.9;1.589743094532462
0.1;1.0;1.0;1.535707755863713
0.2;0.0;0.0;-0.0
0.2;0.0;0.1;-0.0
0.2;0.0;0.2;-0.0
0.2;0.0;0.3;-0.0
0.2;0.0;0.4;-0.0
0.2;0.0;0.5;-0.0
0.2;0.0;0.6;-0.0
0.2;0.0;0.7;-0.0
0.2;0.0;0.8;-0.0
0.2;0.0;0.9;-0.0
0.2;0.0;1.0;-0.0
0.2;0.1;0.0;-0.0
0.2;0.1;0.1;1.0029357281368811
0.2;0.1;0.2;1.1021442004483717
0.2;0.1;0.3;1.1809379629070562
0.2;0.1;0.4;1.1829065662536182
0.2;0.1;0.5;1.1005557461026594
0.2;0.1;0.6;1.1306686253367964
0.2;0.1;0.7;1.1039625063400345
0.2;0.1;0.8;1.173719046104989
0.2;0.1;0.9;1.1794849625699515
0.2;0.1;1.0;1.1681976852649942
0.2;0.2;0.0;-0.0
0.2;0.2;0.1;1.1974779142482983
0.2;0.2;0.2;1.345639811946799
0.2;0.2;0.3;1.3194056184832048
0.2;0.2;0.4;1.3193704549414629
0.2;0.2;0.5;1.3465757673903622
0.2;0.2;0.6;1.3200569328485978
0.2;0.2;0.7;1.2934577743093214
0.2;0.2;0.8;1.333843314546704
0.2;0.2;0.9;1.215907178950188
0.2;0.2;1.0;1.2356335462981298
0.2;0.3;0.0;-0.0
0.2;0.3;0.1;1.337027507787372
0.2;0.3;0.2;1.308190298157529
0.2;0.3;0.3;1.3564775293137787
0.2;0.3;0.4;1.3776764767304166
0.2;0.3;0.5;1.4176336512993932
0.2;0.3;0.6;1.385823871077051
0.2;0.3;0.7;1.342055050591497
0.2;0.3;0.8;1.330372762407863
0.2;0.3;0.9;1.4261906998818017
0.2;0.3;1.0;1.3324406753729268
0.2;0.4;0.0;-0.0
0.2;0.4;0.1;1.3425495758907322
0.2;0.4;0.2;1.4244752487144918
0.2;0.4;0.3;1.469653421450597
0.2;0.4;0.4;1.469550247422975
0.2;0.4;0.5;1.5170710506910277
0.2;0.4;0.6;1.418359214597546
0.2;0.4;0.7;1.4102562832648946
0.2;0.4;0.8;1.3728137436860872
0.2;0.4;0.9;1.5548283857683534
0.2;0.4;1.0;1.4894094858777376
0.2;0.5;0.0;-0.0
0.2;0.5;0.1;1.4166004717765752
0.2;0.5;0.2;1.4565376047094043
0.2;0.5;0.3;1.5025941299688073
0.2;0.5;0.4;1.559089297554492
0.2;0.5;0.5;1.5736845550601948
0.2;0.5;0.6;1.5308923700143438
0.2;0.5;0.7;1.5235790623268446
0.2;0.5;0.8;1.4243444595938597
0.2;0.5;0.9;1.5721929542762665
0.2;0.5;1.0;1.5014750931029093
0.2;0.6;0.0;-0.0
0.2;0.6;0.1;1.4251813584933577
0.2;0.6;0.2;1.4458320326855336
0.2;0.6;0.3;1.4705544224831577
0.2;0.6;0.4;1.5385011662909025
0.2;0.6;0.5;1.5984346219139265
0.2;0.6;0.6;1.6214086775527343
0.2;0.6;0.7;1.5258923798796644
0.2;0.6;0.8;1.5004719682150194
0.2;0.6;0.9;1.61945966592445
0.2;0.6;1.0;1.621646530218624
0.2;0.7;0.0;-0.0
0.2;0.7;0.1;1.4194546387202571
0.2;0.7;0.2;1.5361922281404383
0.2;0.7;0.3;1.5440879803869088
0.2;0.7;0.4;1.5471448387456983
0.2;0.7;0.5;1.690260062408407
0.2;0.7;0.6;1.5533005341093626
0.2;0.7;0.7;1.5260831283987062
0.2;0.7;0.8;1.595658786934059
0.2;0.7;0.9;1.6108765444248112
0.2;0.7;1.0;1.639476292214739
0.2;0.8;0.0;-0.0
0.2;0.8;0.1;1.4831396606460796
0.2;0.8;0.2;1.665339492207906
0.2;0.8;0.3;1.5894472635064645
0.2;0.8;0.4;1.6050767864104107
0.2;0.8;0.5;1.57824081154287
0.2;0.8;0.6;1.6962286988540216
0.2;0.8;0.7;1.6455914161039018
0.2;0.8;0.8;1.581529479186227
0.2;0.8;0.9;1.6331871164169436
0.2;0.8;1.0;1.6445694364414527
0.2;0.9;0.0;-0.0
0.2;0.9;0.1;1.512844946736217
0.2;0.9;0.2;1.515658423979828
0.2;0.9;0.3;1.604426805968099
0.2;0.9;0.4;1.6970353123817734
0.2;0.9;0.5;1.5805058699540084
0.2;0.9;0.6;1.680364219838242
0.2;0.9;0.7;1.6442778246118288
0.2;0.9;0.8;1.5660287771658006
0.2;0.9;0.9;1.5883353110680354
0.2;0.9;1.0;1.6555027614642286
0.2;1.0;0.0;-0.0
0.2;1.0;0.1;1.562568118173561
0.2;1.0;0.2;1.612661580416137
0.2;1.0;0.3;1.6629661449951312
0.2;1.0;0.4;1.6695873076037222
0.2;1.0;0.5;1.6538970540969158
0.2;1.0;0.6;1.675365108999345
0.2;1.0;0.7;1.7032287350847166
0.2;1.0;0.8;1.699749126759445
0.2;1.0;0.9;1.6557241775816138
0.2;1.0;1.0;1.7138345833092947
0.3;0.0;0.0;-0.0
0.3;0.0;0.1;-0.0
0.3;0.0;0.2;-0.0
0.3;0.0;0.3;-0.0
0.3;0.0;0.4;-0.0
0.3;0.0;0.5;-0.0
0.3;0.0;0.6;-0.0
0.3;0.0;0.7;-0.0
